tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
15,192.168.1.143,50430,192.168.4.2,5056,Jan 21, 2026 14:30:08.936150000 CST,0
15,192.168.1.143,50430,192.168.4.2,5056,Jan 21, 2026 14:30:08.936201000 CST,0
16,192.168.4.2,44549,192.168.1.143,2113,Jan 21, 2026 14:30:09.017585000 CST,0
16,192.168.1.143,2113,192.168.4.2,44549,Jan 21, 2026 14:30:09.118269000 CST,0
16,192.168.4.2,44549,192.168.1.143,2113,Jan 21, 2026 14:30:09.118359000 CST,0
17,192.168.1.143,50431,192.168.4.2,5056,Jan 21, 2026 14:30:09.152193000 CST,0
17,192.168.4.2,5056,192.168.1.143,50431,Jan 21, 2026 14:30:09.152269000 CST,0
17,192.168.1.143,50431,192.168.4.2,5056,Jan 21, 2026 14:30:09.253042000 CST,0
17,192.168.4.2,5056,192.168.1.143,50431,Jan 21, 2026 14:30:09.253482000 CST,524
17,192.168.1.143,50431,192.168.4.2,5056,Jan 21, 2026 14:30:09.352523000 CST,16
17,192.168.4.2,5056,192.168.1.143,50431,Jan 21, 2026 14:30:09.352670000 CST,0
17,192.168.1.143,50431,192.168.4.2,5056,Jan 21, 2026 14:30:09.362157000 CST,0
17,192.168.4.2,5056,192.168.1.143,50431,Jan 21, 2026 14:30:09.362193000 CST,0
16,192.168.1.143,2113,192.168.4.2,44549,Jan 21, 2026 14:30:09.394827000 CST,0
17,192.168.1.143,50431,192.168.4.2,5056,Jan 21, 2026 14:30:09.451326000 CST,0
17,192.168.1.143,50431,192.168.4.2,5056,Jan 21, 2026 14:30:09.457046000 CST,0
17,192.168.1.143,50431,192.168.4.2,5056,Jan 21, 2026 14:30:09.461762000 CST,0
18,192.168.4.2,44550,192.168.1.143,2113,Jan 21, 2026 14:30:09.608266000 CST,0
19,192.168.1.143,50432,192.168.4.2,5056,Jan 21, 2026 14:30:09.658395000 CST,0
19,192.168.4.2,5056,192.168.1.143,50432,Jan 21, 2026 14:30:09.658476000 CST,0
18,192.168.1.143,2113,192.168.4.2,44550,Jan 21, 2026 14:30:09.710969000 CST,0
19,192.168.1.143,50432,192.168.4.2,5056,Jan 21, 2026 14:30:09.756286000 CST,0
19,192.168.4.2,5056,192.168.1.143,50432,Jan 21, 2026 14:30:09.756709000 CST,524
19,192.168.1.143,50432,192.168.4.2,5056,Jan 21, 2026 14:30:09.853981000 CST,16
19,192.168.4.2,5056,192.168.1.143,50432,Jan 21, 2026 14:30:09.854246000 CST,0
19,192.168.1.143,50432,192.168.4.2,5056,Jan 21, 2026 14:30:09.859989000 CST,0
19,192.168.4.2,5056,192.168.1.143,50432,Jan 21, 2026 14:30:09.860036000 CST,0
19,192.168.1.143,50432,192.168.4.2,5056,Jan 21, 2026 14:30:09.957366000 CST,0
19,192.168.1.143,50432,192.168.4.2,5056,Jan 21, 2026 14:30:09.957366000 CST,0
19,192.168.1.143,50432,192.168.4.2,5056,Jan 21, 2026 14:30:09.962138000 CST,0
18,192.168.4.2,44550,192.168.1.143,2113,Jan 21, 2026 14:30:10.210247000 CST,0
18,192.168.1.143,2113,192.168.4.2,44550,Jan 21, 2026 14:30:10.312830000 CST,0
