tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.881527000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.881527000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.881527000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.977468000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.977586000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.982709000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.982709000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.982709000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.982709000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.982709000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.982709000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.982709000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.982785000 CST,1259
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.982829000 CST,1320
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.982858000 CST,541
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.982890000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.982914000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.982931000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.988015000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.988064000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.082233000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.082399000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.082399000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.082399000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.082399000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.082580000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.082853000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.082853000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.086984000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.086984000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.086984000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.087054000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.087083000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.087117000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.190172000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.190172000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.190172000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.190172000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.190172000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.190172000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.190243000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.190296000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.190307000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.190339000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.190355000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.190366000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.287457000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.287561000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.287606000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.294391000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.294391000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.294527000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.294612000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.294708000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.294747000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:44.386803000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.386901000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:44.386901000 CST,1380
